raw_x,raw_y,ideal_x,ideal_y
2481.5,4030.5,-50,68.5
2328.5,4030.5,-40,68.5
2258.5,4030.5,-30,68.5
2165.5,4030.5,-20,68.5
2143.5,4030.5,-10,68.5
2070.5,4030.5,0,68.5
2014.5,4030.5,10,68.5
1753.5,4030.5,20,68.5
1680.5,4030.5,30,68.5
1581.5,4030.5,40,68.5
1498.5,4030.5,50,68.5
2688.0,4030.5,-50,78.5
2593.5,4030.5,-40,78.5
2524.0,4030.5,-30,78.5
2483.0,4030.5,-20,78.5
2458.5,4030.5,-10,78.5
2342.5,4030.5,0,78.5
2327.5,4029.5,10,78.5
2222.5,4029.5,20,78.5
2195.5,4029.5,30,78.5
2191.5,4030.0,40,78.5
2152.5,4029.5,50,78.5
2142.5,4029.5,-50,88.5
2039.0,4030.0,-40,88.5
2022.5,4029.5,-30,88.5
1971.0,4030.0,-20,88.5
1968.5,4029.5,-10,88.5
1941.0,4029.5,0,88.5
1797.5,4029.5,10,88.5
1759.0,4030.0,20,88.5
1598.5,4029.5,30,88.5
1427.5,4030.0,40,88.5
2583.5,4030.0,50,88.5
2572.5,4028.5,-50,98.5
2379.5,4028.5,-40,98.5
2346.5,4028.5,-30,98.5
2140.5,4028.5,-20,98.5
2103.5,4028.5,-10,98.5
2100.5,4029.0,0,98.5
2083.5,4028.5,10,98.5
2013.5,4029.0,20,98.5
2007.5,4028.5,30,98.5
2004.5,4029.5,40,98.5
1820.5,4029.0,50,98.5
1796.5,4028.5,-50,108.5
1771.0,4029.0,-40,108.5
1657.5,4028.5,-30,108.5
1646.0,4029.5,-20,108.5
1572.5,4028.5,-10,108.5
1430.0,4029.0,0,108.5
2775.0,4029.5,10,108.5
2695.5,4029.5,20,108.5
2573.0,4029.5,30,108.5
2555.5,4027.5,40,108.5
2544.5,4029.5,50,108.5
2518.0,4029.5,-50,118.5
2228.5,4027.5,-40,118.5
2165.5,4027.5,-30,118.5
2102.0,4027.5,-20,118.5
2084.5,4027.5,-10,118.5
2082.0,4027.5,0,118.5
2021.5,4027.5,10,118.5
2011.5,4027.5,20,118.5
1819.5,4027.5,30,118.5
1810.0,4028.0,40,118.5
1647.5,4027.5,50,118.5
