row,col,x_meas,y_meas,x_ideal,y_ideal,dx,dy
0,0,-55.210811,85.270000,-50.000000,68.500000,-5.210811,16.770000
0,1,-43.304054,86.960000,-40.000000,68.500000,-3.304054,18.460000
0,2,-31.277027,88.260000,-30.000000,68.500000,-1.277027,19.760000
0,3,-18.768919,88.910000,-20.000000,68.500000,1.231081,20.410000
0,4,-6.862162,89.040000,-10.000000,68.500000,3.137838,20.540000
0,5,6.127027,88.520000,0.000000,68.500000,6.127027,20.020000
0,6,18.875676,87.350000,10.000000,68.500000,8.875676,18.850000
0,7,29.700000,85.790000,20.000000,68.500000,9.700000,17.290000
0,8,41.125676,83.710000,30.000000,68.500000,11.125676,15.210000
0,9,51.108108,81.500000,40.000000,68.500000,11.108108,13.000000
0,10,63.255405,78.250000,50.000000,68.500000,13.255405,9.750000
1,0,-54.248649,94.240000,-50.000000,78.500000,-4.248649,15.740000
1,1,-42.943243,95.670000,-40.000000,78.500000,-2.943243,17.170000
1,2,-31.156757,96.710000,-30.000000,78.500000,-1.156757,18.210000
1,3,-19.129730,97.360000,-20.000000,78.500000,0.870270,18.860000
1,4,-7.343243,97.490000,-10.000000,78.500000,2.656757,18.990000
1,5,4.804054,97.230000,0.000000,78.500000,4.804054,18.730000
1,6,16.470270,96.450000,10.000000,78.500000,6.470270,17.950000
1,7,27.655405,95.410000,20.000000,78.500000,7.655405,16.910000
1,8,38.720270,93.980000,30.000000,78.500000,8.720270,15.480000
1,9,49.304054,92.160000,40.000000,78.500000,9.304054,13.660000
1,10,60.128378,89.950000,50.000000,78.500000,10.128378,11.450000
2,0,-53.647297,103.470000,-50.000000,88.500000,-3.647297,14.970000
2,1,-42.582432,104.510000,-40.000000,88.500000,-2.582432,16.010000
2,2,-31.156757,105.290000,-30.000000,88.500000,-1.156757,16.790000
2,3,-19.490541,105.810000,-20.000000,88.500000,0.509459,17.310000
2,4,-7.824324,105.940000,-10.000000,88.500000,2.175676,17.440000
2,5,3.601351,105.940000,0.000000,88.500000,3.601351,17.440000
2,6,14.786486,105.550000,10.000000,88.500000,4.786486,17.050000
2,7,26.091892,104.900000,20.000000,88.500000,6.091892,16.400000
2,8,36.795946,104.120000,30.000000,88.500000,6.795946,15.620000
2,9,47.500000,102.950000,40.000000,88.500000,7.500000,14.450000
2,10,57.843243,101.650000,50.000000,88.500000,7.843243,13.150000
3,0,-53.045946,112.830000,-50.000000,98.500000,-3.045946,14.330000
3,1,-42.101351,113.610000,-40.000000,98.500000,-2.101351,15.110000
3,2,-31.036486,114.260000,-30.000000,98.500000,-1.036486,15.760000
3,3,-19.610811,114.650000,-20.000000,98.500000,0.389189,16.150000
3,4,-8.305405,114.910000,-10.000000,98.500000,1.694595,16.410000
3,5,2.879730,114.910000,0.000000,98.500000,2.879730,16.410000
3,6,13.824324,114.650000,10.000000,98.500000,3.824324,16.150000
3,7,24.889189,114.260000,20.000000,98.500000,4.889189,15.760000
3,8,35.472973,113.740000,30.000000,98.500000,5.472973,15.240000
3,9,46.177027,112.960000,40.000000,98.500000,6.177027,14.460000
3,10,56.760811,111.920000,50.000000,98.500000,6.760811,13.420000
4,0,-52.564865,122.320000,-50.000000,108.500000,-2.564865,13.820000
4,1,-41.740541,122.970000,-40.000000,108.500000,-1.740541,14.470000
4,2,-31.036486,123.490000,-30.000000,108.500000,-1.036486,14.990000
4,3,-19.851351,123.750000,-20.000000,108.500000,0.148649,15.250000
4,4,-8.786486,124.010000,-10.000000,108.500000,1.213514,15.510000
4,5,2.398649,124.140000,0.000000,108.500000,2.398649,15.640000
4,6,13.463514,124.010000,10.000000,108.500000,3.463514,15.510000
4,7,24.287838,123.750000,20.000000,108.500000,4.287838,15.250000
4,8,34.631081,123.360000,30.000000,108.500000,4.631081,14.860000
4,9,44.854054,122.840000,40.000000,108.500000,4.854054,14.340000
4,10,56.400000,122.190000,50.000000,108.500000,6.400000,13.690000
5,0,-52.444595,134.540000,-50.000000,118.500000,-2.444595,16.040000
5,1,-41.139189,134.280000,-40.000000,118.500000,-1.139189,15.780000
5,2,-31.156757,134.150000,-30.000000,118.500000,-1.156757,15.650000
5,3,-19.851351,133.890000,-20.000000,118.500000,0.148649,15.390000
5,4,-9.267568,133.630000,-10.000000,118.500000,0.732432,15.130000
5,5,2.398649,133.500000,0.000000,118.500000,2.398649,15.000000
5,6,13.824324,133.240000,10.000000,118.500000,3.824324,14.740000
5,7,23.927027,132.980000,20.000000,118.500000,3.927027,14.480000
5,8,34.270270,132.850000,30.000000,118.500000,4.270270,14.350000
5,9,43.771622,132.590000,40.000000,118.500000,3.771622,14.090000
5,10,56.760811,132.330000,50.000000,118.500000,6.760811,13.830000
