type,x,y
path,0.0,6636.0
path,0.0,-4164.0
path,0.0,-4164.0
path,30.0,-4176.0
path,28.0,-12.0
path,44.0,-50.0
path,20.0,-50.0
path,-5.0,0.0
path,-10.0,4.0
path,-10.0,10.0
path,0.0,5.0
path,-9.0,14.0
path,-20.0,20.0
path,-20.0,11.0
path,-20.0,8.0
path,-20.0,-227.0
path,0.0,-238.0
path,0.0,-238.0
path,40.0,-240.0
path,48.0,-3.0
path,103.0,-37.0
path,153.0,-97.0
path,35.0,-42.0
path,50.0,-96.0
path,27.0,-96.0
path,-5.0,0.0
path,-10.0,9.0
path,-10.0,20.0
path,0.0,12.0
path,-28.0,48.0
path,-65.0,85.0
path,-63.0,63.0
path,-90.0,81.0
path,-78.0,50.0
path,3.0,-9.0
path,-2.0,-24.0
path,-12.0,-35.0
path,-23.0,-26.0
path,-9.0,-49.0
path,62.0,-96.0
path,39.0,-26.0
path,69.0,-38.0
path,94.0,-38.0
path,20.0,-1.0
path,42.0,-6.0
path,50.0,-12.0
path,38.0,-31.0
path,280.0,-46.0
path,339.0,-21.0
path,81.0,35.0
path,122.0,136.0
path,84.0,208.0
path,-14.0,27.0
path,-19.0,30.0
path,-47.0,25.0
path,-26.0,-5.0
path,-38.0,0.0
path,-64.0,23.0
path,-18.0,16.0
path,-33.0,31.0
path,-33.0,35.0
path,0.0,15.0
path,28.0,4.0
path,50.0,-19.0
path,12.0,-13.0
path,27.0,-22.0
path,32.0,-19.0
path,5.0,3.0
path,24.0,3.0
path,43.0,0.0
path,39.0,-8.0
path,55.0,-41.0
path,55.0,-117.0
path,0.0,-62.0
path,-45.0,-132.0
path,-98.0,-155.0
path,-46.0,-20.0
path,-197.0,-20.0
path,-297.0,0.0
path,-179.0,36.0
path,-215.0,50.0
path,-273.0,104.0
path,-28.0,26.0
path,-31.0,36.0
path,-30.0,76.0
path,1.0,25.0
path,6.0,46.0
path,11.0,46.0
path,4.0,0.0
path,6.0,4.0
path,2.0,10.0
path,-3.0,5.0
path,-12.0,7.0
path,-20.0,3.0
path,-19.0,-7.0
path,-21.0,-109.0
path,-2.0,-116.0
path,9.0,-4.0
path,9.0,-8.0
path,-2.0,-15.0
path,-11.0,-8.0
path,-11.0,-11.0
path,0.0,-16.0
path,11.0,-5.0
path,11.0,-7.0
path,2.0,-12.0
path,-10.0,-4.0
