type,x,y
path,0.0,17499.0
path,0.0,-13382.0
path,0.0,-13382.0
path,42.0,-13376.0
path,58.0,8.0
path,140.0,-9.0
path,209.0,-43.0
path,33.0,-16.0
path,59.0,-26.0
path,59.0,-23.0
path,0.0,11.0
path,-46.0,42.0
path,-62.0,43.0
path,-9.0,0.0
path,-19.0,4.0
path,-22.0,9.0
path,-4.0,5.0
path,-38.0,15.0
path,-76.0,22.0
path,-48.0,8.0
path,-70.0,17.0
path,-70.0,26.0
path,0.0,9.0
path,7.0,12.0
path,17.0,9.0
path,10.0,-3.0
path,41.0,-10.0
path,68.0,-16.0
path,63.0,-12.0
path,125.0,-34.0
path,134.0,-47.0
path,3.0,-5.0
path,14.0,-12.0
path,24.0,-16.0
path,9.0,-3.0
path,17.0,-13.0
path,17.0,-22.0
path,0.0,-8.0
path,7.0,-15.0
path,16.0,-15.0
path,9.0,0.0
path,18.0,-9.0
path,21.0,-20.0
path,3.0,-11.0
path,12.0,-20.0
path,20.0,-20.0
path,25.0,0.0
path,12.0,-54.0
path,-15.0,-58.0
path,-12.0,-2.0
path,-22.0,1.0
path,-22.0,7.0
path,0.0,19.0
path,-63.0,70.0
path,-126.0,101.0
path,-70.0,35.0
path,-131.0,48.0
path,-192.0,42.0
path,-42.0,-4.0
path,-42.0,-4.0
path,-42.0,-1063.0
path,0.0,-1057.0
path,0.0,-1060.0
path,20.0,-1049.0
path,11.0,6.0
path,20.0,17.0
path,20.0,26.0
path,0.0,21.0
path,39.0,94.0
path,50.0,94.0
path,6.0,0.0
path,10.0,10.0
path,10.0,23.0
path,0.0,13.0
path,11.0,46.0
path,25.0,74.0
path,13.0,28.0
path,27.0,74.0
path,31.0,102.0
path,4.0,28.0
path,11.0,54.0
path,16.0,57.0
path,5.0,3.0
path,5.0,11.0
path,-2.0,19.0
path,-17.0,21.0
path,-1.0,45.0
path,31.0,45.0
path,22.0,0.0
path,29.0,-5.0
path,29.0,-20.0
path,0.0,-11.0
path,-6.0,-23.0
path,-14.0,-26.0
path,-10.0,-4.0
path,-13.0,-15.0
path,-9.0,-40.0
path,5.0,-28.0
path,3.0,-34.0
path,-13.0,-35.0
path,-11.0,0.0
path,-14.0,-3.0
path,-6.0,-6.0
path,14.0,-6.0
path,16.0,-33.0
path,3.0,-65.0
path,-5.0,-13.0
path,-19.0,-49.0
path,-31.0,-80.0
path,-12.0,-32.0
path,-26.0,-58.0
path,-31.0,-58.0
path,-5.0,0.0
path,-9.0,-12.0
path,-9.0,-26.0
path,0.0,-14.0
path,-13.0,-43.0
path,-28.0,-63.0
path,-16.0,-20.0
path,-35.0,-58.0
path,-42.0,-85.0
path,-9.0,-32.0
path,-20.0,-50.0
path,-32.0,-54.0
path,-11.0,-2.0
path,-18.0,-13.0
path,-18.0,-27.0
path,0.0,-19.0
path,5.0,-22.0
path,45.0,-23.0
path,25.0,0.0
path,65.0,-9.0
path,89.0,-21.0
path,56.0,-26.0
path,86.0,-19.0
path,86.0,20.0
path,0.0,18.0
path,5.0,29.0
path,14.0,29.0
path,9.0,0.0
path,12.0,7.0
path,9.0,20.0
path,-3.0,12.0
path,1.0,28.0
path,10.0,38.0
path,8.0,9.0
path,18.0,43.0
path,22.0,75.0
path,5.0,41.0
path,13.0,60.0
path,26.0,68.0
path,11.0,5.0
path,19.0,18.0
path,19.0,29.0
path,0.0,10.0
path,4.0,22.0
path,10.0,25.0
